Timestamp,Step_Number,Step_Name,Temperature_C,Pressure_Bar,Cl2_Flow_Pct,Cooling_Pct,Agitator_RPM,Purity_Pct,Moles_DCP,Financial_Value,Recipe_Status,Safety_Scram,Interlock_Active
2026-01-26T13:09:49.314363,1,Load Phenol,73.0,1.33,0,100,100.0,100.0,0.0,-100.0,Load Phenol (Step 1/8) - 30s left,False,False
2026-01-26T13:09:59.412546,1,Load Phenol,15.0,0.75,0,20,100.0,100.0,0.0,-100.0,Load Phenol (Step 1/8) - 20s left,False,False
2026-01-26T13:10:09.478156,1,Load Phenol,15.0,0.75,0,20,100.0,100.0,0.0,-100.0,Load Phenol (Step 1/8) - 10s left,False,False
2026-01-26T13:10:19.496013,2,Add Chlorobenzene,15.0,0.75,0,20,100.0,100.0,0.0,-100.0,Add Chlorobenzene (Step 2/8) - 45s left,False,False
2026-01-26T13:10:29.539774,2,Add Chlorobenzene,15.0,0.75,0,20,100.0,100.0,0.0,-100.0,Add Chlorobenzene (Step 2/8) - 35s left,False,False
2026-01-26T13:10:39.543377,2,Add Chlorobenzene,15.0,0.75,0,20,100.0,100.0,0.0,-100.0,Add Chlorobenzene (Step 2/8) - 25s left,False,False
2026-01-26T13:10:49.593805,2,Add Chlorobenzene,15.0,0.75,0,20,100.0,100.0,0.0,-100.0,Add Chlorobenzene (Step 2/8) - 15s left,False,False
2026-01-26T13:10:59.716354,2,Add Chlorobenzene,15.0,0.75,0,20,100.0,100.0,0.0,-100.0,Add Chlorobenzene (Step 2/8) - 4s left,False,False
2026-01-26T13:11:09.844871,3,Heat to 75°C,78.57,1.39,0,23.2,100.0,95.7,0.0,-100.0,Heat to 75°C (Step 3/8) - 114s left,False,True
2026-01-26T13:11:19.944489,3,Heat to 75°C,100.96,1.61,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 104s left,False,True
2026-01-26T13:11:30.042564,3,Heat to 75°C,104.48,1.64,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 94s left,False,True
2026-01-26T13:11:40.061598,3,Heat to 75°C,105.47,1.65,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 84s left,False,True
2026-01-26T13:11:50.109015,3,Heat to 75°C,105.73,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 74s left,False,True
2026-01-26T13:12:00.112450,3,Heat to 75°C,105.81,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 64s left,False,True
2026-01-26T13:12:10.137551,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 54s left,False,True
2026-01-26T13:12:20.206640,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 44s left,False,True
2026-01-26T13:12:30.310016,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 34s left,False,True
2026-01-26T13:12:40.325390,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 24s left,False,True
2026-01-26T13:12:50.337612,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 14s left,False,True
2026-01-26T13:13:00.409339,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 4s left,False,True
2026-01-26T13:13:10.453320,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:13:20.470877,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:13:30.508892,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:13:40.575236,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:13:50.607240,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:14:00.631937,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:14:10.654494,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:14:20.708133,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
2026-01-26T13:14:30.757722,3,Heat to 75°C,105.83,1.66,0,100,100.0,70.0,0.0,-100.0,Heat to 75°C (Step 3/8) - 0s left,False,True
